Batch1-SS-0~10,,,,,,,,
,three-helix,beta-bridge,turn,ahelix,beta-sheet,bend,five-helix,coil
0,0.623,0.493,0.646,0.67,0.557,0.687,0.472,0.68
1,0.666,0.534,0.692,0.683,0.584,0.73,0.486,0.787
2,0.655,0.488,0.665,0.653,0.531,0.708,0.386,0.835
3,0.664,0.482,0.679,0.682,0.506,0.726,0.5,0.864
4,0.676,0.501,0.68,0.686,0.508,0.726,0.485,0.873
5,0.694,0.513,0.698,0.699,0.534,0.743,0.503,0.879
6,0.689,0.512,0.697,0.69,0.517,0.745,0.491,0.881
7,0.71,0.552,0.716,0.71,0.554,0.763,0.477,0.885
8,0.714,0.557,0.703,0.696,0.548,0.759,0.506,0.883
9,0.715,0.573,0.715,0.702,0.554,0.765,0.564,0.888
10,0.708,0.629,0.704,0.701,0.563,0.767,0.56,0.878
